rgb_luminance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,patch_background.started,patch_background.stopped,patch_foreground.started,patch_foreground.stopped,patch_test.started,patch_test.stopped,key_response.keys,key_response.rt,key_response.started,key_response.stopped,text_task.started,text_task.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.3,7,7,63,1,146.75755219999996,None,146.75755219999996,None,146.75755219999996,None,left,0.7915131999999971,146.8327243,None,146.75755219999996,None,147.64875419999998,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.5,8,0,64,5,147.85169659999997,None,147.85169659999997,None,147.85169659999997,None,right,0.8373184000000151,147.92302949999998,None,147.85169659999997,None,148.7846038,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.4,8,1,65,3,148.99269349999997,None,148.99269349999997,None,148.99269349999997,None,left,0.7867109000000028,149.06231609999998,None,148.99269349999997,None,149.8742133,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.45,8,2,66,4,150.0749055,None,150.0749055,None,150.0749055,None,right,5.302460900000028,150.14426929999996,None,150.0749055,None,155.47056779999997,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.25,8,3,67,0,155.6735248,None,155.6735248,None,155.6735248,None,left,0.8987662000000114,155.74314629999998,None,155.6735248,None,156.6660983,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.6,8,4,68,7,156.87536799999998,None,156.87536799999998,None,156.87536799999998,None,right,0.8590686999999662,156.9453759,None,156.87536799999998,None,157.8276664,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.55,8,5,69,6,158.04110709999998,None,158.04110709999998,None,158.04110709999998,None,right,3.4693602000000396,158.09380299999998,None,158.04110709999998,None,161.5866638,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.3,8,6,70,1,161.7931408,None,161.7931408,None,161.7931408,None,left,0.895103000000006,161.8618283,None,161.7931408,None,162.78115249999996,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.35,8,7,71,2,162.99011989999997,None,162.99011989999997,None,162.99011989999997,None,left,1.255670500000008,163.0604555,None,162.99011989999997,None,164.3412133,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.55,9,0,72,6,164.5466727,None,164.5466727,None,164.5466727,None,right,0.6140141000000199,164.6150579,None,164.5466727,None,165.2537355,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.5,9,1,73,5,165.45945209999996,None,165.45945209999996,None,165.45945209999996,None,right,1.7557583999999906,165.5301389,None,165.45945209999996,None,167.30953139999997,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.6,9,2,74,7,167.5114056,None,167.5114056,None,167.5114056,None,right,1.4362167000000454,167.5820359,None,167.5114056,None,169.04229349999997,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.35,9,3,75,2,169.24736969999998,None,169.24736969999998,None,169.24736969999998,None,left,0.6930732000000148,169.31679709999997,None,169.24736969999998,None,170.0347177,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.45,9,4,76,4,170.2373662,None,170.2373662,None,170.2373662,None,right,1.0235093000000006,170.3100035,None,170.2373662,None,171.35684629999997,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.4,9,5,77,3,171.56655689999997,None,171.56655689999997,None,171.56655689999997,None,left,1.7624536999999805,171.63640759999998,None,171.56655689999997,None,173.4219301,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.25,9,6,78,0,173.6274644,None,173.6274644,None,173.6274644,None,left,0.7978481000000102,173.6957066,None,173.6274644,None,174.5187272,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.3,9,7,79,1,174.7215357,None,174.7215357,None,174.7215357,None,left,1.2280592000000183,174.79066699999998,None,174.7215357,None,176.04350829999998,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.55,10,0,80,6,176.24968839999997,None,176.24968839999997,None,176.24968839999997,None,right,0.48856499999999414,176.31940229999998,None,176.24968839999997,None,176.8349814,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.6,10,1,81,7,177.0393232,None,177.0393232,None,177.0393232,None,right,0.5313778999999954,177.1071708,None,177.0393232,None,177.66211299999998,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.25,10,2,82,0,177.8650829,None,177.8650829,None,177.8650829,None,left,0.8539008999999851,177.93464259999996,None,177.8650829,None,178.81488050000002,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.3,10,3,83,1,179.021339,None,179.021339,None,179.021339,None,left,1.1407608000000096,179.0926212,None,179.021339,None,180.25582070000002,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.5,10,4,84,5,180.4642055,None,180.4642055,None,180.4642055,None,right,0.5151860000000283,180.5336448,None,180.4642055,None,181.0722642,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.45,10,5,85,4,181.2746181,None,181.2746181,None,181.2746181,None,right,1.9974222000000168,181.3440862,None,181.2746181,None,183.3654935,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.4,10,6,86,3,183.5696105,None,183.5696105,None,183.5696105,None,left,0.9979789999999866,183.6397126,None,183.5696105,None,184.6608124,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.35,10,7,87,2,184.87178169999999,None,184.87178169999999,None,184.87178169999999,None,right,1.2761749999999665,184.94032949999996,None,184.87178169999999,None,186.23937769999998,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.6,11,0,88,7,186.4462401,None,186.4462401,None,186.4462401,None,right,0.6523166999999717,186.51673089999997,None,186.4462401,None,187.1939883,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.25,11,1,89,0,187.39698779999998,None,187.39698779999998,None,187.39698779999998,None,left,1.4556493999999702,187.46635909999998,None,187.39698779999998,None,188.94638829999997,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
